OBJECTID,Join_Count,TARGET_FID,stop_id,stop_name,stop_lat,stop_lon,suburb
1289,1,1288,7753,Balfour Street (near 65),-41.31766544,174.7682583,Mornington
1291,1,1290,4387,Croydon Street (near 2),-41.2905346,174.7468564,Karori
1293,1,1292,7768,Karepa Street (opposite 171),-41.30603004,174.7575516,Brooklyn
1295,1,1294,7748,Finnimore Terrace at Dransfield Street (near 10),-41.31202741,174.7717541,Vogeltown
1296,1,1295,7334,Queens Drive at Rua Street,-41.33027373,174.7916618,Lyall Bay
1299,1,1298,3081,Johnsonville - Stop B,-41.222872,174.805259,Johnsonville
1301,1,1300,6721,Washington Avenue (near 83),-41.30706021,174.7668218,Brooklyn
1303,1,1302,4133,Gloucester Street at Worcester Street (near 22),-41.26992401,174.756702,Wilton
1308,1,1307,6157,The Esplanade at Beach Street (near 300),-41.34587061,174.7695409,Island Bay
1309,1,1308,4402,Kaiwharawhara Road (near 36),-41.25828385,174.7873052,Kaiwharawhara
1311,1,1310,6304,Monorgan Road at Sidlaw Street (opposite 97),-41.33141,174.82071,Strathmore Park
1313,1,1312,7086,Hobart Street at Caledonia Street,-41.32173,174.81319,Miramar
1314,1,1313,3268,Johnsonville Road at Disraeli Street,-41.22545745,174.8071696,Johnsonville
1315,1,1314,7950,Buckley Road (near 78),-41.33507239,174.7842646,Southgate
1328,1,1327,5104,St Mary's College - Hill Street (school stop North),-41.276826,174.775633,Thorndon
1330,1,1329,5129,Wilton Road (near 79),-41.26604398,174.7630444,Wilton
1335,1,1334,6303,Monorgan Road at Raukawa Street,-41.328698,174.81814,Strathmore Park
1339,1,1338,3710,Woodridge - Kentwood Drive,-41.21491443,174.830259,Woodridge
1342,1,1341,3430,Guadeloupe Crescent at Mandeville Crescent,-41.20920031,174.8213927,Grenada Village
1347,1,1346,3764,Somes Crescent at Sunhaven Drive (near 44),-41.22614008,174.8323617,Newlands
1350,1,1349,5935,Mairangi Road at Norwich Street,-41.26464222,174.7663492,Wadestown
1351,1,1350,5416,Cockayne Road at Nairnville Park,-41.24982617,174.7867166,Khandallah
1352,1,1351,6548,Evans Bay Parade near Cog Park,-41.30445397,174.8012272,Hataitai
1353,1,1352,7026,Kilbirnie - Stop C,-41.31730621,174.7955324,Kilbirnie
1358,1,1357,6008,Wellington East Girls' College - Ellice Street (school stop),-41.301056,174.784838,Mount Victoria
